filename,sum_total_global,ratio_top_bottom,center_of_mass_y,avg_percent_above_threshold,horizontal_vs_vertical_ratio,max_overall,mean_of_means,std_of_means,mean_signed_vertical,mean_signed_horizontal
img_330.jpg,11677.564453,0.662938,0.572159,0.329851,1.285191,1.000000,0.101820,0.108222,0.045517,0.035416
img_331.jpg,14184.972656,0.663160,0.574015,0.415405,1.076829,1.000000,0.123683,0.063194,0.085289,0.079204
img_332.jpg,7822.159180,0.994460,0.529810,0.259269,1.116753,1.000000,0.068204,0.048201,0.048999,0.043877
img_333.jpg,8307.438477,0.609006,0.579672,0.241821,1.361347,1.000000,0.072435,0.070283,0.038855,0.028542
img_334.jpg,13519.664062,0.744584,0.549138,0.388053,1.179552,1.000000,0.117882,0.126404,0.053057,0.044981
img_335.jpg,10512.967773,0.647322,0.589637,0.270525,0.751285,1.000000,0.091666,0.071206,0.046143,0.061419
img_336.jpg,6351.675781,0.515182,0.591500,0.198818,1.736860,1.000000,0.055382,0.060195,0.026357,0.015175
img_337.jpg,10869.070312,0.889124,0.531608,0.316990,2.093871,1.000000,0.094771,0.062002,0.068924,0.032917
img_338.jpg,6059.177246,0.756873,0.529417,0.089329,0.898390,1.000000,0.052832,0.042520,0.025050,0.027883
img_339.jpg,6326.345703,0.633210,0.587787,0.211373,1.108965,1.000000,0.055161,0.053705,0.025164,0.022692
img_340.jpg,8598.216797,0.924465,0.500546,0.245562,1.914626,1.000000,0.074970,0.067953,0.045069,0.023539
img_341.jpg,4369.669922,1.118075,0.529398,0.094822,1.661653,1.000000,0.038100,0.021983,0.031356,0.018870
img_342.jpg,6554.599121,0.529663,0.598544,0.174892,1.551942,1.000000,0.057152,0.047079,0.035856,0.023104
img_343.jpg,12175.854492,0.778507,0.539475,0.320321,0.804518,1.000000,0.106165,0.082130,0.053968,0.067081
img_344.jpg,10886.529297,0.766140,0.544679,0.287685,1.963826,1.000000,0.094923,0.084800,0.053050,0.027014
img_345.jpg,9235.729492,0.562876,0.590523,0.251805,0.854756,1.000000,0.080529,0.075291,0.036705,0.042942
img_346.jpg,11485.224609,0.890107,0.521477,0.381374,1.286873,1.000000,0.100143,0.088524,0.054228,0.042139
img_347.jpg,7947.614258,0.758583,0.561882,0.213640,1.265241,1.000000,0.069298,0.058148,0.042214,0.033365
img_348.jpg,13333.978516,0.850462,0.541689,0.358503,1.326110,1.000000,0.116263,0.071984,0.079409,0.059881
img_349.jpg,13789.221680,0.758378,0.547002,0.376500,0.764037,1.000000,0.120232,0.070231,0.071959,0.094183
img_350.jpg,9611.813477,1.091935,0.527696,0.284572,0.911457,1.000000,0.083808,0.059160,0.045577,0.050004
img_352.jpg,9143.683594,1.759374,0.447465,0.260001,1.279403,1.000000,0.079727,0.054251,0.058563,0.045773
img_354.jpg,12360.469727,0.948138,0.527192,0.365479,0.785208,1.000000,0.107775,0.109478,0.040413,0.051468
img_355.jpg,9522.326172,1.031866,0.497597,0.257089,1.510136,1.000000,0.083028,0.049301,0.072350,0.047910
img_356.jpg,13924.513672,1.148264,0.483262,0.357387,1.326942,1.000000,0.121412,0.081616,0.083545,0.062961
img_357.jpg,10519.985352,0.844033,0.545334,0.311506,1.347114,1.000000,0.091727,0.058281,0.064515,0.047892
img_358.jpg,8036.708008,0.944418,0.500878,0.247864,2.276701,1.000000,0.070075,0.050686,0.050681,0.022261
img_359.jpg,4678.720703,1.209022,0.481033,0.074009,1.936134,1.000000,0.040795,0.027405,0.030134,0.015564
img_360.jpg,11800.392578,0.468239,0.604435,0.330409,0.643680,1.000000,0.102891,0.081831,0.042217,0.065587
img_362.jpg,21401.761719,0.890535,0.528618,0.528800,1.307019,1.000000,0.186609,0.112551,0.135359,0.103563
img_363.jpg,16107.478516,1.001783,0.513693,0.386152,1.016677,1.000000,0.140446,0.148385,0.051377,0.050534
img_364.jpg,9678.197266,0.643195,0.579092,0.287641,0.561289,1.000000,0.084387,0.052781,0.034632,0.061700
img_365.jpg,5343.490723,0.980242,0.517040,0.093663,2.256934,1.000000,0.046592,0.034501,0.031669,0.014032
img_366.jpg,9179.541016,0.771973,0.538016,0.249643,1.310215,1.000000,0.080039,0.069368,0.044503,0.033966
img_367.jpg,9319.586914,0.894768,0.535129,0.254604,1.128273,1.000000,0.081260,0.064906,0.042345,0.037530
img_368.jpg,14048.064453,0.950512,0.533618,0.352984,0.628116,1.000000,0.122489,0.098582,0.051495,0.081984
img_369.jpg,8534.501953,0.512014,0.593127,0.234392,1.505650,1.000000,0.074415,0.077573,0.036033,0.023932
img_370.jpg,13595.343750,0.944470,0.537708,0.369332,0.784291,1.000000,0.118542,0.110835,0.048185,0.061438
img_372.jpg,13000.586914,0.806224,0.570269,0.288365,0.926643,1.000000,0.113356,0.112452,0.044569,0.048097
img_373.jpg,6164.120605,1.106636,0.480052,0.114005,1.531550,1.000000,0.053747,0.037911,0.036421,0.023780
img_374.jpg,8390.481445,0.777029,0.526367,0.208915,1.494462,1.000000,0.073159,0.059627,0.045614,0.030522
img_375.jpg,8705.145508,0.471634,0.639347,0.216779,0.702921,1.000000,0.075903,0.060937,0.031411,0.044687
img_376.jpg,9248.644531,0.539470,0.611909,0.263785,0.897704,1.000000,0.080642,0.055725,0.041540,0.046273
img_377.jpg,7167.595215,0.725036,0.550793,0.162912,1.471895,1.000000,0.062496,0.035878,0.045350,0.030810
img_378.jpg,12987.017578,1.026885,0.505830,0.335754,1.016208,1.000000,0.113238,0.125055,0.042687,0.042006
img_379.jpg,11336.197266,1.164296,0.481957,0.304138,0.782550,1.000000,0.098844,0.079902,0.046997,0.060056
img_382.jpg,10769.509766,0.915331,0.522206,0.279463,1.110912,1.000000,0.093903,0.092762,0.042097,0.037894
img_384.jpg,8572.749023,0.548101,0.571872,0.253819,1.109790,1.000000,0.074748,0.058161,0.043835,0.039498
img_385.jpg,12453.349609,0.860489,0.523873,0.323312,1.417764,1.000000,0.108585,0.111711,0.051086,0.036033
img_386.jpg,8051.489258,0.493569,0.574558,0.232378,1.101657,1.000000,0.070203,0.060878,0.036929,0.033522
img_387.jpg,8641.515625,0.479082,0.597653,0.235474,1.064824,1.000000,0.075348,0.065990,0.037415,0.035137
img_388.jpg,12720.596680,1.032456,0.507880,0.369359,1.057227,1.000000,0.110915,0.104595,0.048628,0.045996
img_390.jpg,7609.882324,0.554415,0.563405,0.202497,0.982993,1.000000,0.066353,0.044488,0.038092,0.038751
img_391.jpg,10035.070312,0.759902,0.522992,0.281355,1.105683,1.000000,0.087499,0.055046,0.061409,0.055540
img_392.jpg,7951.685059,0.704929,0.548016,0.199463,1.158664,1.000000,0.069333,0.056215,0.035777,0.030878
img_393.jpg,10210.793945,1.116211,0.502146,0.264753,0.900466,1.000000,0.089031,0.096415,0.036692,0.040747
img_395.jpg,7524.075195,0.807017,0.524281,0.211295,0.924435,1.000000,0.065605,0.044223,0.036896,0.039912
img_396.jpg,6197.130859,0.966143,0.491187,0.137652,1.380025,1.000000,0.054035,0.034316,0.037892,0.027457
img_397.jpg,7686.551758,1.269914,0.470555,0.229248,0.939982,1.000000,0.067021,0.042777,0.038279,0.040723
img_398.jpg,12440.239258,1.074326,0.503595,0.332267,0.671674,1.000000,0.108470,0.092325,0.045120,0.067175
img_399.jpg,9042.059570,0.708842,0.544957,0.240479,0.852518,1.000000,0.078841,0.066806,0.036497,0.042811
img_400.jpg,9477.865234,0.599076,0.567908,0.228646,1.125207,1.000000,0.082640,0.066345,0.046733,0.041533
img_402.jpg,10333.735352,0.939312,0.524155,0.258850,1.188230,1.000000,0.090103,0.083011,0.045412,0.038218
img_403.jpg,8275.738281,0.783559,0.531642,0.231480,0.855139,1.000000,0.072159,0.047756,0.037455,0.043800
img_404.jpg,14232.179688,1.611292,0.454672,0.363177,0.638366,1.000000,0.124095,0.090095,0.052065,0.081559
img_406.jpg,5881.632324,1.092961,0.511755,0.158238,0.754457,1.000000,0.051284,0.022149,0.032434,0.042990
img_407.jpg,7080.777832,0.933310,0.516041,0.146066,1.905798,1.000000,0.061739,0.046205,0.042114,0.022098
img_408.jpg,13259.154297,0.855653,0.533310,0.314218,1.232662,1.000000,0.115611,0.121061,0.051553,0.041823
img_409.jpg,9569.531250,0.643964,0.561237,0.253732,1.423859,1.000000,0.083440,0.073482,0.045309,0.031821
img_410.jpg,8637.492188,1.055201,0.500702,0.215960,2.780140,1.000000,0.075313,0.070852,0.049460,0.017790
img_411.jpg,5533.395996,0.844509,0.520915,0.087385,2.404657,1.000000,0.048247,0.026788,0.044506,0.018508
img_412.jpg,12626.478516,0.803899,0.524375,0.349452,1.039080,1.000000,0.110094,0.069129,0.047545,0.045757
img_413.jpg,7252.120117,0.699655,0.543551,0.205287,1.821060,1.000000,0.063233,0.059325,0.036982,0.020308
img_414.jpg,6502.344727,0.912682,0.527002,0.139544,1.409366,1.000000,0.056696,0.033532,0.047669,0.033823
img_415.jpg,12931.853516,1.394028,0.471189,0.373335,1.030436,1.000000,0.112757,0.097130,0.053975,0.052380
img_416.jpg,8576.625977,0.634881,0.554189,0.231323,1.301869,1.000000,0.074782,0.058986,0.042990,0.033022
img_417.jpg,9845.082031,1.188960,0.469610,0.291626,1.157328,1.000000,0.085842,0.054671,0.048469,0.041880
img_418.jpg,5838.120117,0.711428,0.543405,0.095782,1.238831,1.000000,0.050904,0.035860,0.030136,0.024326
img_419.jpg,12614.128906,1.424337,0.467206,0.369603,0.913533,1.000000,0.109986,0.099792,0.047487,0.051982
img_420.jpg,4163.281738,0.902051,0.520386,0.070618,2.618329,1.000000,0.036301,0.024216,0.031771,0.012134
img_421.jpg,6003.604492,0.717751,0.515949,0.118452,1.622179,1.000000,0.052347,0.039809,0.035766,0.022048
img_422.jpg,3162.924805,1.185336,0.484170,0.047346,1.959571,1.000000,0.027579,0.013987,0.024426,0.012465
img_423.jpg,10675.878906,0.988304,0.505415,0.286211,1.541792,1.000000,0.093086,0.076072,0.055585,0.036052
